Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM
Andrei Kuzmenko,27,CGY,F,29,14,11,25,-8,6
Andrei Kuzmenko,27,VAN,F,43,8,13,21,-1,6
Curtis Lazar,28,NJD,C,71,7,18,25,10,44
Josh Manson,32,COL,D,76,8,17,25,11,87
John Marino,26,NJD,D,75,4,21,25,-6,41
Jacob Middleton,28,MIN,D,80,7,18,25,-15,77
Logan O'Connor,27,COL,RW,57,13,12,25,13,34
T.J. Oshie,37,WSH,C,52,12,13,25,-6,44
Matt Roy,28,LAK,D,81,5,20,25,21,42
Alexander Wennberg,29,2TM,C,79,10,20,30,0,14
Alexander Wennberg,29,SEA,C,60,9,16,25,1,14
Alexander Wennberg,29,NYR,C,19,1,4,5,-1,0
Artem Zub,28,OTT,D,69,5,20,25,5,32
Jason Zucker,32,2TM,LW,69,14,18,32,-9,81
Jason Zucker,32,ARI,LW,51,9,16,25,-5,58
Jason Zucker,32,NSH,LW,18,5,2,7,-4,23
Pavel Dorofeyev,23,VEG,LW,47,13,11,24,8,12
Sam Lafferty,28,VAN,C,79,13,11,24,4,32
Bobby McMann,27,TOR,F,56,15,9,24,13,52
Nicklaus Perbix,25,TBL,D,77,2,22,24,8,10
Jeff Petry,36,DET,D,73,3,21,24,-7,39
Martin Pospisil,24,CGY,C,63,8,16,24,14,109
Mike Reilly,30,2TM,D,61,6,18,24,-1,30
Mike Reilly,30,NYI,D,59,6,18,24,1,28
Mike Reilly,30,FLA,D,2,0,0,0,-2,2
David Savard,33,MTL,D,60,6,18,24,-1,24
Kevin Shattenkirk,35,BOS,D,61,6,18,24,-2,18
Jordan Spence,22,LAK,D,71,2,22,24,5,12
Sam Steel,25,DAL,C,77,9,15,24,0,29
Bobby Brink,22,PHI,RW,57,11,12,23,1,10
Casey Cizikas,32,NYI,C,70,10,13,23,-2,22
Evgenii Dadonov,34,DAL,RW,51,12,11,23,-6,8
Vladislav Gavrikov,28,LAK,D,77,6,17,23,9,28
Mike Hoffman,34,SJS,C,66,10,13,23,-21,20
Ryan Johansen,31,COL,C,63,13,10,23,-6,34
Alex Laferriere,22,LAK,RW,81,12,11,23,-14,46
Timothy Liljegren,24,TOR,D,55,3,20,23,3,16
Sonny Milano,27,WSH,LW,49,15,8,23,4,10
Max Pacioretty,35,WSH,LW,47,4,19,23,-14,25
Jack Roslovic,27,2TM,C,59,9,22,31,-10,16
Jack Roslovic,27,CBJ,C,40,6,17,23,-9,14
Jack Roslovic,27,NYR,C,19,3,5,8,-1,2
Rasmus Sandin,23,WSH,D,68,3,20,23,-13,24
Cole Smith,28,NSH,F,80,9,14,23,5,63
Filip Zadina,24,SJS,RW,72,13,10,23,-44,18
Jalen Chatfield,27,CAR,D,72,8,14,22,15,24
